#{"t_start": 1779420956.918663, "env_id": "None"}
r,l,t
109.970604,389,1.788866
-71.0453,177,2.337234
-57.887829,205,3.07448
111.611401,398,4.500692
-102.866627,159,5.058931
-10.82092,249,5.905675
432.964738,648,8.727521
-33.737068,220,9.481803
69.550553,274,10.454239
95.311015,276,11.384106
406.925354,574,13.192824
390.124549,597,15.817562
14.863175,272,16.74401
278.973142,492,18.331432
404.591354,572,20.085961
101.377315,280,21.0568
-60.860091,131,21.500723
178.737696,414,23.376992
409.34467,579,25.427713
236.96406,485,27.135724
415.203241,531,28.705929
404.047913,591,31.176194
22.918067,204,31.876651
244.065439,416,33.45045
147.802282,394,34.882341
175.720216,370,36.120182
449.10214,623,38.749412
208.131154,446,40.367366
249.336016,491,42.162185
173.423512,370,43.610521
84.655551,382,44.956033
167.413918,399,46.842933
293.60292,512,48.759539
162.277469,348,50.002457
46.455167,312,51.118843
185.483018,435,52.826989
214.570171,450,54.989282
187.61462,402,56.312505
429.553795,642,58.547878
204.043976,388,59.938487
426.063815,567,62.458615
200.37908,432,64.103261
443.869677,603,66.587336
189.944732,430,68.130067
441.767363,637,71.236086
430.907228,601,73.306285
437.291184,573,75.19363
429.071058,615,77.870166
440.250615,579,80.00925
415.253682,559,81.861824
430.233744,553,83.621704
411.57694,612,86.396541
426.009748,605,88.496828
430.971543,561,90.310521
412.840852,564,92.728675
454.294207,592,94.995339
439.430397,542,96.89201
431.850283,621,98.878999
424.63184,639,101.579055
429.953074,644,103.867755
422.009655,547,105.725136
422.388483,610,108.663593
317.096772,501,110.527748
79.504566,246,111.412561
427.289878,608,113.517547
1025.952089,1728,120.366434
144.522527,305,121.428399
1031.326288,1744,127.479122
1000.682838,1746,134.061799
1038.974727,1687,140.958171
425.164219,518,142.802639
417.566223,505,144.519461
420.377859,506,146.678816
423.49768,546,149.164847
1057.382967,1627,156.064321
1064.2322,1700,163.290258
1030.035064,1568,169.809065
1058.616747,1738,177.295149
429.013865,638,180.285219
1050.345282,1889,190.284965
1178.69515,2243,203.857108
