#{"t_start": 1779434569.0450292, "env_id": "None"}
r,l,t
-139.897638,140,1.145853
-139.758636,151,1.751991
543.211921,441,3.489546
876.982802,562,5.711404
1.313693,179,6.436582
15.715677,217,7.329691
-178.969341,107,7.771063
770.279439,475,10.322779
844.048727,511,12.35161
305.152264,304,13.634158
498.45022,421,15.408284
-93.872448,152,16.028039
-114.987942,109,16.49844
296.732143,339,18.604062
433.679106,351,20.12057
-139.760175,114,20.611306
416.657519,328,22.056902
620.729144,376,23.573991
830.230365,482,25.869421
227.407562,262,26.932205
395.28284,330,29.145251
839.170279,473,31.257671
271.713607,287,32.509555
584.536873,393,34.115546
793.749311,482,36.040443
780.228017,451,38.592241
-97.675279,141,39.167664
460.372632,361,40.751111
818.867917,458,42.684143
819.916815,461,44.519964
242.428135,262,45.618628
791.61087,454,48.319231
253.471688,288,49.56049
177.820626,258,50.708565
210.611037,222,51.675176
221.455106,237,52.73955
283.382822,288,54.050107
557.096317,365,55.544113
843.952305,450,58.209096
833.458666,466,60.231882
815.148109,498,62.240036
802.954373,465,64.312094
834.847676,478,67.076474
778.774928,439,68.896082
176.348123,256,69.989647
750.06779,434,71.852816
745.579502,441,73.856549
161.621982,227,75.548817
830.378963,436,77.297753
836.575344,438,79.15702
821.185675,461,81.238028
816.332971,466,83.198783
144.814943,227,84.177228
816.943418,433,86.8017
48.287408,183,87.592092
809.408384,470,89.595699
806.780645,415,91.228944
826.960247,445,93.38123
658.649332,390,95.73264
752.143588,412,97.350536
812.657316,440,99.071115
803.746759,414,100.737676
834.488999,441,102.587242
826.181207,448,105.253899
844.253303,438,107.013806
830.444207,434,108.730486
822.479185,456,110.574143
768.996942,392,112.962942
835.999101,427,114.668225
839.364393,414,116.35575
798.504676,406,118.112939
824.043881,417,119.880263
804.669099,422,122.326663
836.070492,416,124.538245
806.304388,409,126.210276
831.019928,410,127.832263
765.269226,404,129.627712
833.511916,416,132.113632
827.463848,411,133.815603
791.766683,444,135.769437
781.29795,425,137.70665
-134.689328,118,138.225543
775.899243,392,139.844105
834.363739,443,142.478505
820.629748,436,144.403755
812.495905,447,146.226276
813.687283,484,148.106807
835.44042,409,150.457665
839.90063,419,152.258715
809.779709,420,153.943564
831.328239,418,155.586183
831.438145,412,157.216561
842.248889,409,159.671588
944.63953,557,161.93844
811.840021,452,163.745331
823.250262,433,165.489966
846.517826,420,167.195565
847.82596,437,169.713728
809.367986,450,171.675406
846.75658,426,173.400441
172.070707,240,174.476115
827.519635,433,176.423574
857.401325,450,178.936237
852.254942,474,181.014619
866.109866,433,182.869742
857.567885,440,184.728304
852.33146,460,186.632008
826.007946,457,189.426151
846.164838,438,191.280805
834.356708,500,193.291651
927.367298,497,195.413377
922.446489,548,198.670499
827.559093,547,201.068249
35.214106,144,201.735505
825.334403,458,203.719706
872.473231,488,205.850136
830.933883,437,208.371137
843.844301,448,210.256619
818.680096,462,212.268353
832.622855,471,214.249266
844.246688,454,216.825439
317.942006,276,218.057756
288.123307,247,219.151289
855.825043,452,221.076442
817.488918,483,223.369802
116.715637,213,224.309883
598.67108,333,226.415185
358.391885,267,227.641243
823.766065,493,229.775707
265.505423,259,230.855458
462.726808,302,232.236497
911.173876,484,234.395255
877.48172,477,236.983383
864.219345,420,238.893469
1975.407053,1286,244.786315
851.149339,438,246.880857
841.789253,438,248.707563
828.971508,444,250.711856
938.516208,554,253.194718
828.374313,469,255.967688
1986.421933,1485,261.824462
850.729913,441,264.378783
1984.26002,1248,270.16954
912.260498,445,272.182842
884.424671,407,274.591016
854.51219,428,276.392083
889.87741,407,278.113489
942.446201,497,280.41131
842.435066,432,282.348646
907.79646,411,284.955507
860.752326,446,287.033937
866.676511,407,288.739122
915.434283,409,290.406082
854.050005,425,292.83612
911.588043,415,294.606449
1998.825461,1182,300.553272
2035.150154,1186,306.095629
934.631412,411,308.035812
2059.195419,1122,314.152707
2034.327657,1172,319.351338
2008.23467,1219,325.904567
2023.509373,1133,331.222712
2025.879625,1128,337.380164
928.035715,442,339.383657
1922.785745,1274,346.400919
872.03224,402,348.232176
221.683012,220,349.213609
869.262536,414,350.926075
1923.107188,1235,356.696407
565.517219,297,357.961413
911.185005,395,359.747056
642.881565,330,361.173926
583.46885,307,362.525477
923.47681,412,365.156873
1984.700232,1224,371.155107
916.207764,410,372.839261
2000.435925,1110,378.962756
915.644371,418,380.903468
439.312217,277,382.161789
1953.633806,1107,388.252453
2011.677926,1124,393.136368
294.584246,239,394.490543
1923.727391,1099,399.640867
1953.141354,1176,405.351014
1977.388846,1161,410.61136
1980.53079,1097,415.463141
684.673385,321,416.79725
1882.904076,1085,422.225525
638.161812,303,424.261831
2029.292086,1117,429.18404
1964.191776,1108,434.659685
2048.97204,1103,439.634706
908.999363,390,441.232324
1985.730371,1106,446.490135
2014.781928,1073,452.249659
908.481174,390,453.90073
2043.373701,1084,458.507827
2003.48891,1054,463.819977
2007.504795,1065,468.73169
2023.432273,1055,474.545319
797.222465,309,476.194955
-7.810637,99,476.700398
96.971134,129,477.390542
-19.322001,96,477.875475
0.561038,101,478.394866
-5.373243,101,478.900019
46.021953,117,479.512449
44.352872,117,480.089176
72.856614,127,480.746817
-20.734825,92,481.206423
-8.091497,98,481.71801
6.771046,105,482.925061
319.601402,190,483.905115
459.745893,218,485.068927
22.967704,106,485.606192
54.571104,116,486.190451
9.9286,103,486.711632
68.313595,122,487.352404
200.488001,160,488.182722
336.119745,193,489.222665
2.76264,98,489.700402
194.321171,152,490.490092
-9.400465,99,490.98854
46.810114,114,491.577192
-17.594208,95,492.065145
929.284064,374,494.779898
-21.166341,95,495.314821
112.908537,135,496.018126
57.744486,121,496.658033
22.916043,109,497.225518
47.906332,117,497.843458
178.254726,155,498.668514
-25.343041,91,499.122596
18.002678,108,499.679491
2068.388145,1103,505.282567
2078.333769,1017,510.261266
513.147333,235,511.4486
-20.163668,93,511.92776
-14.218449,98,512.429082
96.62065,131,513.103846
-42.004794,91,513.561323
918.722726,377,516.20107
-13.246188,100,516.724931
75.260751,122,517.351942
19.898577,106,517.913263
80.006488,124,518.56878
144.220981,139,519.273849
439.416323,218,520.430633
34.644733,107,520.954291
76.391529,123,521.580275
571.416041,247,522.963478
19.90589,104,523.477271
862.266049,319,525.158993
-21.810879,93,525.634486
52.844413,114,526.20263
63.061364,117,527.478025
357.339301,196,528.496843
2072.572071,1034,533.273329
2062.25687,1041,539.527142
785.454211,305,541.172774
-18.839197,92,541.631558
32.226566,109,542.201374
844.644137,326,543.90068
20.332049,108,544.458563
63.976313,120,545.066963
879.567745,332,546.784423
54.739037,122,547.438007
101.820946,131,548.147544
142.134988,140,549.535671
38.838995,109,550.097948
117.477961,138,550.841624
118.138709,134,551.529901
195.856899,150,552.311306
33.298328,109,552.864506
2054.547039,1015,557.777833
-10.562144,96,558.27386
27.973041,111,558.857015
804.781191,304,561.090807
-15.190531,99,561.596922
40.529032,114,562.203305
950.941511,344,564.053051
7.343357,104,564.585418
139.831448,143,565.337565
130.694009,138,566.063072
40.179985,111,566.632873
310.34163,185,567.60641
73.503052,120,568.225166
148.093967,141,568.945682
94.17261,128,569.598915
2042.486433,1010,575.694764
223.012023,160,576.514261
1015.743517,370,578.50949
403.491997,204,579.628432
-20.041724,92,580.110139
